Name,temp_rmse,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_0_0000,4.7241469074750535,8.789425,7.3275000000000015,1.876225,0.335075,0.6209375,0.44375,369.20125,0.090425
pe_basin_0_0001,5.79570915080356,8.828275,8.316500000000001,0.6441250000000001,0.189375,1.2028124999999998,0.24625,353.94925,0.132075
pe_basin_0_0002,4.985326965455411,8.867125,9.305500000000002,2.758675,0.355225,1.7846875,0.55125,338.69725,0.17372500000000002
pe_basin_0_0003,5.956659664567917,8.905975,10.2945,1.526575,0.209525,2.3665625,0.35375,323.44525,0.21537500000000004
pe_basin_0_0004,6.634848536702597,8.944825,11.2835,0.29447500000000004,0.375375,0.5615625000000001,0.15625,308.19325,0.257025
pe_basin_0_0005,6.127156679170735,8.983675,12.2725,2.409025,0.229675,1.1434375,0.46125,292.94125,0.298675
pe_basin_0_0006,7.208290258637986,9.022525,13.261500000000002,1.176925,0.395525,1.7253125,0.26375000000000004,277.68925,0.34032500000000004
pe_basin_0_0007,8.13573875507751,9.061375,14.250500000000002,-0.055175,0.249825,2.3071875,0.5687500000000001,262.43725,0.381975
pe_basin_0_0008,4.1670942416226575,9.100225,6.5965000000000025,2.059375,0.415675,0.5021875,0.37125,247.18525,0.423625
pe_basin_0_0009,4.970748784209576,9.139075,7.5855000000000015,0.827275,0.269975,1.0840625,0.17375000000000002,231.93325,0.4652750000000001
pe_basin_0_0010,4.4163195264504935,9.177925,8.5745,2.941825,0.435825,1.6659374999999998,0.47875,216.68125,0.5069250000000001
pe_basin_0_0011,5.284608218694267,9.216775,9.5635,1.7097250000000002,0.290125,2.2478125,0.28125,201.42925,0.056125
pe_basin_0_0012,5.936574891589108,9.255625,10.552500000000002,0.477625,0.4559749999999999,0.4428125,0.5862499999999999,186.17725,0.097775
pe_basin_0_0013,5.618911029247557,9.294475,11.541500000000005,2.592175,0.310275,1.0246875,0.38875,170.92525,0.13942500000000002
pe_basin_0_0014,6.639540366757528,9.333325,12.530500000000002,1.360075,0.476125,1.6065625,0.19125,155.67325,0.18107500000000004
pe_basin_0_0015,7.7424127085561,9.372175,13.5195,0.12797499999999998,0.330425,2.1884375,0.49625,140.42125,0.222725
pe_basin_0_0016,6.619129433845021,9.411025,14.508500000000002,2.242525,0.184725,0.3834374999999999,0.29875,125.16925,0.264375
pe_basin_0_0017,4.249271596699424,9.449875,6.8545000000000025,1.010425,0.350575,0.9653125,0.60375,109.91725,0.306025
pe_basin_0_0018,5.410627232385238,9.488725,7.8435000000000015,-0.221675,0.204875,1.5471874999999995,0.40625,94.66525,0.347675
pe_basin_0_0019,4.606069293896513,9.527575,8.8325,1.892875,0.370725,2.1290625,0.20875,79.41325,0.389325
pe_basin_0_0020,5.703473090182303,9.566425,9.8215,0.6607750000000001,0.225025,0.3240625,0.51375,64.16125000000001,0.430975
pe_basin_0_0021,5.037825355905727,9.605275,10.8105,2.775325,0.390875,0.9059375,0.31625000000000003,48.90925,0.4726250000000001
pe_basin_0_0022,6.034188101649782,9.644125,11.799500000000002,1.543225,0.245175,1.4878125,0.6212500000000001,33.657250000000005,0.514275
pe_basin_0_0023,7.1954117051220905,9.682975,12.788500000000004,0.3111250000000001,0.411025,2.0696875,0.42375,18.40525,0.063475
pe_basin_0_0024,6.328134532052999,9.721825,13.777500000000002,2.425675,0.265325,0.2646875,0.22625,3.1532500000000003,0.105125
pe_basin_0_0025,7.792147869655137,9.760675,14.7665,1.193575,0.431175,0.8465625000000001,0.53125,371.10775,0.14677500000000002
pe_basin_0_0026,4.499119765931112,9.799525,7.1125000000000025,-0.038525,0.285475,1.4284375,0.33375,355.85575,0.188425
pe_basin_0_0027,3.985114842821564,9.838375,8.101500000000001,2.076025,0.451325,2.0103125,0.63875,340.60375,0.2300750000000001
pe_basin_0_0028,4.929277587606553,9.877225,9.0905,0.843925,0.305625,0.2053125,0.44125,325.3517500000001,0.27172500000000005
pe_basin_0_0029,4.430486626025251,9.916075,10.0795,2.958475,0.471475,0.7871875,0.24375,310.09975,0.313375
pe_basin_0_0030,5.428226578982524,9.954925,11.0685,1.7263750000000002,0.3257749999999999,1.3690624999999998,0.5487500000000001,294.84775,0.35502500000000003
pe_basin_0_0031,6.4667876531571515,9.993775,12.0575,0.494275,0.180075,1.9509375,0.35125,279.59575,0.3966750000000001
pe_basin_0_0032,5.895045317817372,10.032625,13.046500000000002,2.6088250000000004,0.345925,0.1459375,0.15375000000000005,264.34375,0.438325
pe_basin_0_0033,6.724525672136912,10.071475,14.035500000000004,1.376725,0.200225,0.7278125,0.45875,249.09175,0.479975
pe_basin_0_0034,3.758440022668381,10.110325,6.3815,0.14462500000000006,0.3660749999999999,1.3096875,0.26125,233.83975,0.5216250000000001
pe_basin_0_0035,4.2172440470650745,10.149175,7.3705000000000025,2.2591750000000004,0.220375,1.8915625,0.56625,218.58775,0.070825
pe_basin_0_0036,4.1839264212152525,10.188025,8.3595,1.027075,0.386225,0.0865625,0.36875,203.33575,0.11247500000000002
pe_basin_0_0037,5.3813739888966445,10.226875,9.3485,-0.205025,0.240525,0.6684375,0.17125,188.08375,0.154125
pe_basin_0_0038,4.756967920099035,10.265725,10.337500000000002,1.909525,0.4063749999999999,1.2503124999999995,0.47625,172.83175,0.1957750000000001
pe_basin_0_0039,5.8790969304556215,10.304575,11.3265,0.677425,0.260675,1.8321875,0.27875000000000005,157.57975,0.237425
pe_basin_0_0040,5.354152952044684,10.343425,12.3155,2.791975,0.4265249999999999,2.4140625,0.58375,142.32774999999995,0.279075
pe_basin_0_0041,6.361967216923907,10.382275,13.3045,1.559875,0.280825,0.6090625000000001,0.38625,127.07575,0.32072500000000004
pe_basin_0_0042,7.947414038515045,10.421125,14.293500000000002,0.32777500000000004,0.4466749999999999,1.1909375,0.18875000000000008,111.82375,0.362375
pe_basin_0_0043,3.5303384050114044,10.459975,6.6395,2.442325,0.300975,1.7728125,0.49375,96.57175,0.404025
pe_basin_0_0044,3.5456194372728564,10.498825,7.6285000000000025,1.210225,0.4668249999999999,2.3546875,0.29625,81.31975,0.445675
pe_basin_0_0045,4.519846049815604,10.537675,8.6175,-0.02187500000000001,0.321125,0.5496875,0.6012500000000001,66.06775,0.487325
pe_basin_0_0046,4.800269999796411,10.576525,9.6065,2.0926750000000003,0.175425,1.1315625,0.40375,50.81575000000001,0.5289750000000001
pe_basin_0_0047,5.177093554379908,10.615375,10.5955,0.8605750000000001,0.341275,1.7134375,0.20625,35.56375,0.07817500000000001
pe_basin_0_0048,4.952999510690411,10.654225,11.584500000000002,2.975125,0.195575,2.2953125,0.51125,20.31175,0.119825
pe_basin_0_0049,5.843294958306793,10.693075,12.573500000000005,1.743025,0.361425,0.4903125,0.31375,5.05975,0.16147500000000006
pe_basin_0_0050,6.786011533163028,10.731925,13.562500000000002,0.5109250000000001,0.215725,1.0721874999999998,0.61875,373.01425,0.203125
pe_basin_0_0051,6.375495275514097,10.770775,14.5515,2.625475,0.381575,1.6540625,0.42125,357.76225,0.244775
pe_basin_0_0052,3.7794579608860097,10.809625,6.897500000000001,1.393375,0.235875,2.2359375,0.22375,342.51025,0.28642500000000004
pe_basin_0_0053,3.7402855699339614,10.848475,7.8865000000000025,0.16127499999999995,0.401725,0.4309375,0.52875,327.2582500000001,0.328075
pe_basin_0_0054,4.031384973575384,10.887325,8.8755,2.275825,0.256025,1.0128125,0.33125000000000004,312.00625,0.369725
pe_basin_0_0055,4.430302915771704,10.926175,9.8645,1.043725,0.421875,1.5946874999999998,0.63625,296.75425,0.4113750000000001
pe_basin_0_0056,5.660382093111887,10.965025,10.8535,-0.188375,0.276175,2.1765625,0.43875,281.50225,0.453025
pe_basin_0_0057,5.214099621438883,11.003875,11.8425,1.926175,0.4420249999999999,0.3715625,0.24125,266.25025,0.494675
pe_basin_0_0058,6.340258695431483,11.042725,12.831500000000002,0.6940750000000001,0.29632499999999995,0.9534375,0.54625,250.99825,0.536325
pe_basin_0_0059,5.901913271503774,11.081575,13.820500000000004,2.808625,0.462175,1.5353125,0.34875,235.74625,0.085525
pe_basin_0_0060,6.907145538765093,11.120425,14.809500000000005,1.576525,0.31647499999999995,2.1171875,0.15125000000000002,220.49425,0.127175
pe_basin_0_0061,4.291161447554502,11.159275,7.1555,0.344425,0.170775,0.3121875,0.45625,205.24225,0.168825
pe_basin_0_0062,3.3360209136717813,11.198125,8.1445,2.458975,0.33662499999999995,0.8940625,0.25875000000000004,189.99025,0.210475
pe_basin_0_0063,4.490474806456309,11.236975,9.133500000000002,1.2268750000000002,0.190925,1.4759375,0.56375,174.73825,0.252125
pe_basin_0_0064,4.8723422492341815,11.275825,10.1225,-0.00522499999999998,0.35677499999999995,2.0578125,0.36625,159.48624999999996,0.293775
pe_basin_0_0065,4.778120148763521,11.314675,11.1115,2.109325,0.211075,0.2528125,0.16875,144.23425,0.33542500000000003
pe_basin_0_0066,5.734033312895477,11.353525,12.1005,0.8772250000000001,0.376925,0.8346875000000001,0.47375,128.98225,0.377075
pe_basin_0_0067,5.097146581146746,11.392375,13.0895,2.991775,0.231225,1.4165625,0.27625,113.73025,0.418725
pe_basin_0_0068,6.4854126833860315,11.431225,14.078500000000002,1.759675,0.397075,1.9984375,0.58125,98.47825,0.460375
pe_basin_0_0069,3.317464356378826,11.470075,6.4245,0.527575,0.251375,0.1934375,0.38375,83.22625000000002,0.502025
pe_basin_0_0070,2.8203984808347045,11.508925,7.413500000000001,2.642125,0.417225,0.7753125000000001,0.18625000000000005,67.97425,0.051225
pe_basin_0_0071,3.633307738816319,11.547775,8.4025,1.410025,0.271525,1.3571875,0.49125,52.72225000000001,0.092875
pe_basin_0_0072,4.076919500462719,11.586625,9.3915,0.17792499999999994,0.437375,1.9390625,0.29375,37.47025,0.134525
pe_basin_0_0073,4.089316423938439,11.625475,10.3805,2.292475,0.291675,0.1340625,0.59875,22.21825,0.17617500000000005
pe_basin_0_0074,5.0257954697102285,11.664325,11.369500000000002,1.060375,0.457525,0.7159375,0.40125,6.9662500000000005,0.21782500000000005
pe_basin_0_0075,6.259799693592237,11.703175,12.3585,-0.17172500000000002,0.311825,1.2978124999999998,0.20375,374.92075,0.259475
pe_basin_0_0076,5.930775217910235,11.742025,13.3475,1.942825,0.477675,1.8796875,0.50875,359.66875,0.301125
pe_basin_0_0077,7.039758915143022,11.780875,14.3365,0.7107249999999999,0.331975,0.0746875,0.31125,344.41675,0.34277500000000005
pe_basin_0_0078,3.3175011482184464,11.819725,6.6825,2.825275,0.186275,0.6565625,0.61625,329.16475,0.384425
pe_basin_0_0079,2.9348960386824583,11.858575,7.6715,1.593175,0.352125,1.2384375,0.41875,313.91275,0.426075
pe_basin_0_0080,4.116944124073839,11.897425,8.6605,0.361075,0.206425,1.8203125,0.22125,298.66075,0.4677250000000001
pe_basin_0_0081,3.3934335917716845,11.936274999999998,9.649500000000002,2.475625,0.372275,2.4021875,0.52625,283.40875,0.509375
