site_no,station_nm,Lat,Long,COMID,outlet_comid,type,Location
15803000,MEADE R AT ATKASUK AK,70.495376,-157.395848,81000092,81000005,Opt,North
15896000,KUPARUK R NR DEADHORSE AK,70.281385,-148.962786,81000403,81000402,Val,North
15908000,SAGAVANIRKTOK R NR PUMP STA 3 AK,69.015833,-148.817778,81002548,81000433,Opt,North
15519100,TOLOVANA R BL ROSEBUD C NR LIVENGOOD AK,65.464841,-148.631114,81012001,81020021,Val,Interior
15580095,NIUKLUK R AB MELSING C AT COUNCIL AK,64.891944,-163.67,81014331,81014324,Val,Interior
15493000,CHENA R NR TWO RIVERS AK,64.901972,-146.361333,81014458,81020021,Val,Interior
15515500,TANANA R AT NENANA AK,64.564944,-149.094,81015538,81020021,Opt,Interior
15484000,SALCHA R NR SALCHAKET AK,64.471528,-146.928056,81015621,81020021,Opt,Interior
15200280,GULKANA R AT SOURDOUGH AK,62.520392,-145.533015,81023679,81030789,Opt,Interior
15292700,TALKEETNA R NR TALKEETNA AK,62.346439,-150.019201,81023793,81027459,Val,Interior
15565447,YUKON R AT PILOT STATION AK,61.933687,-162.882936,81025423,81020021,Val,Interior
15294005,WILLOW C NR WILLOW AK,61.780303,-149.886679,81026220,81027459,Opt,South
15283700,MOOSE C NR PALMER AK,61.684389,-149.052417,81026903,81027546,Val,South
15284000,MATANUSKA R AT PALMER AK,61.608631,-149.073043,81027556,81027546,Opt,South
15266300,KENAI R AT SOLDOTNA AK,60.476929,-151.081668,81030914,81030912,Opt,South
15258000,KENAI R AT COOPER LANDING AK,60.492193,-149.80992,81030990,81030912,Val,South
15302000,NUYAKUK R NR DILLINGHAM AK,59.93483,-158.190006,81034003,81035777,Val,South
15300300,ILIAMNA R NR PEDRO BAY AK,59.75795,-153.846887,81034272,81035794,Opt,South
