,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_3_0000,14.507286413582026,6.771865216620919,1.479149155103145,0.23706941886560176,1.3519322421958648,0.34290626966919935,316.8499868537915,0.5273422246782554
pe_basin_3_0001,14.614759546719322,6.9011935074996105,1.2306537765828174,0.23576008758520242,1.2202461413873245,0.4237034929570982,334.41473482712274,0.5015135406314888
pe_basin_3_0002,14.515176651147847,6.774932417734595,1.4941206474358082,0.23700792130004456,1.352238725103196,0.3466293107719875,316.02593625079265,0.5249051104154997
pe_basin_3_0003,14.451026818262307,6.755122021934986,1.3502222111746414,0.24699342828666743,1.2988069363356691,0.38344140422969675,315.9771205309579,0.49188074114131003
pe_basin_3_0004,14.420026124010523,6.9158048753134596,1.3422917172624553,0.2512365077180502,1.305895745067171,0.3809014529668212,312.95696876980423,0.5010199999574172
pe_basin_3_0005,14.423993174828201,6.883953225267802,1.3393393317315672,0.2460857665172042,1.2702029034776086,0.373791705389404,317.1215269518154,0.4967873733712631
pe_basin_3_0006,14.508754218487852,6.777439214050322,1.4952601966644248,0.2369276483767103,1.3524173519107514,0.34439533140305484,316.79076568229374,0.5262854249245424
pe_basin_3_0007,14.422047465052852,6.895983700411757,1.3213317268401086,0.24560913949933286,1.2737588070492496,0.37437756815730094,316.9176735063719,0.49571663943876343
pe_basin_3_0008,14.417512335774406,6.92400671987925,1.3347236105387577,0.24656311664412525,1.2739718010187324,0.3721040706085574,316.89167856927725,0.4926049247718736
pe_basin_3_0009,14.429443235682065,6.916451415999197,1.3195449387482552,0.24568654122016595,1.2755415291027115,0.3718365017508429,316.89755423253195,0.4933006839271238
pe_basin_3_0010,14.428177828239019,6.900116303233982,1.332427272292231,0.24716536714457868,1.276469281568979,0.3731023465185076,316.90567367130024,0.4960938204569315
pe_basin_3_0011,14.41632833456665,6.884277692483292,1.3371332839487051,0.2468598397908302,1.2752282015192127,0.37487546940197575,316.9231746238172,0.4970226044474294
pe_basin_3_0012,14.422070734037803,6.896646788550725,1.3356099921484283,0.24610595040963293,1.2753973649936572,0.37410039733897743,316.8954899741124,0.4963321354007953
pe_basin_3_0013,14.511097852981635,6.789152934546655,1.4843575556644668,0.23688340713614883,1.3536417592280945,0.34435429704514436,317.1766189594024,0.5270350417634345
pe_basin_3_0014,14.420299181858274,6.917460307455587,1.327800016952864,0.24625408123393738,1.2731704465263585,0.371965348733659,316.8941198390362,0.493288291481517
pe_basin_3_0015,14.503644521826985,6.770366207106956,1.486158477873383,0.2372567761794829,1.3543827132554553,0.34573469600260737,316.8825000469733,0.5274139578847378
pe_basin_3_0016,14.424327286296407,6.883434714300491,1.3361951583287468,0.2464534576545129,1.273260644951918,0.37445098775057467,317.1320369667852,0.4967115541488233
pe_basin_3_0017,14.430811959805009,6.901713297574338,1.3295031857845094,0.24669144554044273,1.2745133110128752,0.37978582812328626,316.9229904809873,0.4923051021014685
pe_basin_3_0018,14.428103678963733,6.888324901313926,1.3310411249282825,0.2465318290648469,1.2775552307908973,0.37291023072072205,316.9100911595288,0.4965179144934392
pe_basin_3_0019,14.42154291184267,6.895145351946548,1.3302989739398696,0.24652343420899614,1.2741035505301228,0.37392725317419684,316.91773231214677,0.4965683847958826
