,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_4_0000,15.918607382917658,7.128009367021262,1.2804576221906148,0.3195339377561605,1.6580670449355845,0.5747010614668989,57.724434375705805,0.16307819896239914
pe_basin_4_0001,15.718873724563293,7.112770202284957,1.2896984995503247,0.3146608688083952,1.7640722870366647,0.5704923163182374,78.66133969458198,0.17427062064491994
pe_basin_4_0002,15.900794707571443,7.1289329453566985,1.2804467586028494,0.3190309412936212,1.665865567462398,0.5747047066251701,58.118654904513456,0.16213440298434695
pe_basin_4_0003,15.853575721883436,7.128205899265558,1.2801618684516096,0.31830212491315113,1.6572009171683753,0.5759457364208916,55.2095231714682,0.16261999322478507
pe_basin_4_0004,15.70843966122876,7.111689016882091,1.2896046929442004,0.31463719255474853,1.7657260271686128,0.5705489080116626,79.2629152564923,0.17413047664326817
pe_basin_4_0005,15.701665077660929,7.111543142834006,1.2891961927975806,0.3146059274453137,1.7658589198950077,0.5704161783595122,77.91076748548494,0.1741302394597492
pe_basin_4_0006,15.853616730165166,7.128206796668803,1.280162475708772,0.31830215818101515,1.6572012317305564,0.5759456434181135,55.205077340671096,0.16262051054047486
pe_basin_4_0007,15.858471298110704,7.128175392099403,1.2801511704813446,0.31819298362465526,1.6568569928129318,0.5758951832581781,54.72570498113587,0.16265485812052746
pe_basin_4_0008,15.907623844610821,7.1268128376902204,1.2792882195670987,0.31865064773717056,1.6607038292333713,0.5745172332169828,56.28720962913811,0.16342247573645713
pe_basin_4_0009,15.906410829404244,7.126790756932541,1.2792872323499345,0.31863889770937426,1.6607788417895355,0.5746014061813077,56.385953641035115,0.16339005265857043
pe_basin_4_0010,15.901955262624826,7.128889931106917,1.2804539238255528,0.31901972274403345,1.664837047125816,0.5746808475931242,57.83407642265367,0.16217622354382477
pe_basin_4_0011,15.883897015637032,7.129856634266598,1.2808360510453398,0.3183076562018935,1.6443538234595059,0.5753930881482645,55.48593701746025,0.16316197650158618
pe_basin_4_0012,15.894306921787743,7.1256723492243275,1.2791804903745034,0.3186276793433903,1.6624717950073638,0.5746312507965646,56.925370578646834,0.1632428724498259
pe_basin_4_0013,15.906435280038751,7.126807824267319,1.279306640243841,0.31863971175090866,1.6607221979880893,0.5745601106404119,56.33677430214224,0.16337041290170726
pe_basin_4_0014,15.694355005575215,7.1129546840998215,1.2895004965616912,0.31418278625554535,1.7669365583646643,0.570740355827817,80.91393901604323,0.17301163606147574
pe_basin_4_0015,15.705982992625385,7.112471550578885,1.2895610615860875,0.31428516109818855,1.764848534667149,0.5702837934550167,80.33429260997774,0.1727859813717573
pe_basin_4_0016,15.89991030608012,7.125719161725235,1.279192469289302,0.31861824240934616,1.662233646178666,0.574613633750272,56.957356216843934,0.16329071244239854
pe_basin_4_0017,15.883751174034888,7.129875246347747,1.2808327692183907,0.3183541924113837,1.6443389347876454,0.5753874761183192,55.526093724312204,0.1631616521931914
pe_basin_4_0018,15.857387851496384,7.126452688337288,1.2793450391644992,0.3188435611589227,1.6700477988928064,0.5756030821507832,54.54747075746046,0.16272268134624535
pe_basin_4_0019,15.852364336183893,7.126217007291972,1.2795266058098125,0.3188552316725879,1.6688190700166405,0.5755289754145781,55.701198537402696,0.162833551525822
