,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_1_0000,16.54,6.360000000000003,3.1000000000000005,0.17000000000000007,0.6136096147264238,0.14452970165613593,271.7193130804096,0.33604333158318
pe_basin_1_0001,16.54,6.361952609869631,3.1000000000000005,0.17000000000000004,0.776620833955591,0.19509221198862028,272.0149519161871,0.35747041987941885
pe_basin_1_0002,16.54,6.36,3.1000000000000005,0.17000000000000004,0.5995980285074048,0.14,273.3707401562293,0.3806472939443669
pe_basin_1_0003,16.476737751977232,6.36,3.1000000000000005,0.17000000000000004,0.8754047840108984,0.14,258.02774916126475,0.36601836422985673
pe_basin_1_0004,16.54,6.36,3.1000000000000005,0.17000000000000007,0.6414276313448792,0.1420464589876278,272.4870412963434,0.33672720217636676
pe_basin_1_0005,16.54,6.36,3.1000000000000005,0.17000000000000004,0.6518123338970297,0.1400152338229365,271.29728614019433,0.34075490612417364
pe_basin_1_0006,16.539999999999996,6.36,3.1000000000000005,0.17000000000000004,0.6387300939520175,0.14007616081267493,271.46231924362,0.3376099236349666
pe_basin_1_0007,16.54,6.36,3.1000000000000005,0.17000000000000004,0.6338612638726416,0.14045976597120152,270.53169373000077,0.3366097689241563
pe_basin_1_0008,16.539999999999996,6.360000000000003,3.0999999999999996,0.1700000000000001,0.6177322760234482,0.14458239668895942,271.76182023479896,0.3362077110209145
pe_basin_1_0009,16.54,6.36,3.1000000000000005,0.17000000000000004,0.6517383618134848,0.14,271.29681192716515,0.3411005753407185
pe_basin_1_0010,16.54,6.3601816738634085,3.1000000000000005,0.17000000000000004,0.6259632334696767,0.14081354811593813,270.9053859111393,0.3364284086072589
pe_basin_1_0011,16.54,6.36,3.1000000000000005,0.17000000000000004,0.4564333298322818,0.19131119985546122,257.18772470546816,0.3903586350137021
pe_basin_1_0012,16.54,6.36,3.1000000000000005,0.17000000000000004,0.6381779865568541,0.140647191491132,271.3290952040688,0.3366463752334903
pe_basin_1_0013,16.54,6.36,3.1000000000000005,0.17000000000000004,0.6392223014596533,0.14062562233483267,271.30051091207804,0.3366194407976988
pe_basin_1_0014,16.54,6.36,3.1000000000000005,0.17000000000000004,0.6367030471832208,0.1404447683156443,270.52774440944347,0.3366005165241345
pe_basin_1_0015,16.54,6.360000000000002,3.0999999999999996,0.17000000000000004,0.6348346466038883,0.1406709085975795,271.3209105543528,0.33665338856486116
pe_basin_1_0016,16.539999999999996,6.36,3.0999999999999996,0.17000000000000004,0.637653989290395,0.14066506567501205,271.37292318965444,0.33664282043632876
pe_basin_1_0017,16.54,6.36,3.1000000000000005,0.17000000000000004,0.6518757051913238,0.14,271.29720417459066,0.34094136508548234
pe_basin_1_0018,16.54,6.36,3.1000000000000005,0.17000000000000004,0.6344595910170954,0.14044929027284153,270.5658566825002,0.336601438679133
pe_basin_1_0019,16.54,6.360000000000001,3.0999999999999996,0.17000000000000004,0.6335989958597117,0.1406748973027627,271.32866068112526,0.3366560950859763
