,alpha,beta,mu,gamma,a_d,b_d,a_w,b_w
pe_basin_4_0000,11.588115318348471,7.9350608114107395,2.219654104806081,0.338824221571999,1.5312949808122018,0.1633248186532918,226.46554371367017,0.226690406743653
pe_basin_4_0001,11.506113712307519,7.792683046799152,2.244843815942168,0.34959124943769426,1.5246441985641364,0.15954253009778507,225.64261304786785,0.22434597491111474
pe_basin_4_0002,11.52387073352554,7.727978050137575,2.2684707416468535,0.3426266619061589,1.5355256526657304,0.1688439832967127,226.54790137020333,0.22999406470368094
pe_basin_4_0003,11.476663984015566,7.953065098793583,2.209888071798249,0.34138557074343817,1.478699356735286,0.159066264932685,218.92940573992354,0.21592791080163876
pe_basin_4_0004,11.479563001923372,7.952616016710582,2.209716001906628,0.34187814740545,1.4780690244188477,0.15935139375661464,218.22447243093205,0.21582506665057627
pe_basin_4_0005,11.51354538771535,7.718955113246847,2.265494888099091,0.34237144141064885,1.53550341751339,0.16885877985703046,226.53894176533854,0.23011764568982043
pe_basin_4_0006,11.591499354459446,7.935903411612521,2.219904214682952,0.33884591494869554,1.5296287265200237,0.16317641228597557,225.69050036925466,0.22658468331015436
pe_basin_4_0007,11.587993329862664,7.9346383005825984,2.219617611996138,0.3389855171907502,1.5298160319930678,0.16339305732128373,226.7469531580594,0.2267951565911118
pe_basin_4_0008,11.511634955828095,7.707394260744083,2.266169401622068,0.3423155140306208,1.5322694882037617,0.16899124368947807,226.530287929751,0.22967782408772683
pe_basin_4_0009,11.516139281854622,7.723528627395282,2.2686672362069134,0.34233416791123694,1.5354673132025958,0.16890596464649638,226.5480744330772,0.23001544256211245
pe_basin_4_0010,11.475585093732663,7.952772254936767,2.212571162524782,0.3414983133226417,1.4738749365372679,0.1588981967616832,218.98699547282033,0.2157840762856637
pe_basin_4_0011,11.51682929589719,7.710708034251086,2.2693426135527375,0.342423146033951,1.535523133861026,0.1688540874266767,226.55100066366572,0.23015619961152242
pe_basin_4_0012,11.47668868550602,7.952373486570423,2.210091548837917,0.34145319934964363,1.4771320502318668,0.15932975263654456,219.64552412241176,0.2164111829464564
pe_basin_4_0013,11.509978634194544,7.70798394417639,2.2670915419467703,0.3421256796630712,1.5356586404282975,0.16889521336534102,226.54592327497528,0.23020403093861808
pe_basin_4_0014,11.588094773880945,7.934493056697076,2.2196176113929,0.33898623246935833,1.5295081064811664,0.16338337390740204,226.75730241295847,0.22679514295465109
pe_basin_4_0015,11.475872478350947,7.952010346723166,2.209720200977509,0.34148771905391967,1.4756278756850192,0.15910299290584087,219.1053236438709,0.21583869454213517
pe_basin_4_0016,11.483566820217376,7.951163515227673,2.2094908587435396,0.3416314947365564,1.480458599213575,0.15927988113190192,218.39390511749784,0.21647637111418164
pe_basin_4_0017,11.596807435043248,7.938584729056196,2.219684276234347,0.3390626120095835,1.5305804405099117,0.16341658848266852,226.09748331746448,0.22665122522415912
pe_basin_4_0018,11.484207730864762,7.951786347222454,2.209853710257042,0.3417085108353626,1.4760138534969058,0.15940996844321623,218.46985160513822,0.2158486729128293
pe_basin_4_0019,11.516857550395173,7.7067869206120445,2.267745550974802,0.3426214289724186,1.5356377451718901,0.168833596337463,226.5487784659837,0.23029869843892134
